BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze ree
ks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van
De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.k
nmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suitable for
trend analysis. For climate change studies we refer to the homogenized series of monthly temperatures of De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achterg
rond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-neder
land-temperatuur-cnt>.
YYYYMMDD  = Datum (YYYY=jaar MM=maand DD=dag) / Date (YYYY=year MM=month DD=day)
DDVEC     = Vectorgemiddelde windrichting in graden (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil/variabel). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Vector mean wind direction in degrees (360=north, 90=east, 180=south, 270=west, 0=calm/variable)
FHVEC     = Vectorgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Vector mean windspeed (in 0.1 m/s)
FG        = Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
FHX       = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s) / Maximum hourly mean windspeed (in 0.1 m/s)
FHXH      = Uurvak waarin FHX is gemeten / Hourly division in which FHX was measured
FHN       = Laagste uurgemiddelde windsnelheid (in 0.1 m/s) / Minimum hourly mean windspeed (in 0.1 m/s)
FHNH      = Uurvak waarin FHN is gemeten / Hourly division in which FHN was measured
FXX       = Hoogste windstoot (in 0.1 m/s) / Maximum wind gust (in 0.1 m/s)
FXXH      = Uurvak waarin FXX is gemeten / Hourly division in which FXX was measured
TG        = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
TN        = Minimum temperatuur (in 0.1 graden Celsius) / Minimum temperature (in 0.1 degrees Celsius)
TNH       = Uurvak waarin TN is gemeten / Hourly division in which TN was measured
TX        = Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
TXH       = Uurvak waarin TX is gemeten / Hourly division in which TX was measured
T10N      = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius) / Minimum temperature at 10 cm above surface (in 0.1 degrees Celsius)
T10NH     = 6-uurs tijdvak waarin T10N is gemeten / 6-hourly division in which T10N was measured; 6=0-6 UT, 12=6-12 UT, 18=12-18 UT, 24=18-24 UT
SQ        = Zonneschijnduur (in 0.1 uur) berekend uit de globale straling (-1 voor <0.05 uur) / Sunshine duration (in 0.1 hour) calculated from global radiation (-1 for <0.05 hour)
SP        = Percentage van de langst mogelijke zonneschijnduur / Percentage of maximum potential sunshine duration
Q         = Globale straling (in J/cm2) / Global radiation (in J/cm2)
DR        = Duur van de neerslag (in 0.1 uur) / Precipitation duration (in 0.1 hour)
RH        = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
RHX       = Hoogste uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
RHXH      = Uurvak waarin RHX is gemeten / Hourly division in which RHX was measured
PG        = Etmaalgemiddelde luchtdruk herleid tot zeeniveau (in 0.1 hPa) berekend uit 24 uurwaarden / Daily mean sea level pressure (in 0.1 hPa) calculated from 24 hourly values
PX        = Hoogste uurwaarde van de luchtdruk herleid tot zeeniveau (in 0.1 hPa) / Maximum hourly sea level pressure (in 0.1 hPa)
PXH       = Uurvak waarin PX is gemeten / Hourly division in which PX was measured
PN        = Laagste uurwaarde van de luchtdruk herleid tot zeeniveau (in 0.1 hPa) / Minimum hourly sea level pressure (in 0.1 hPa)
PNH       = Uurvak waarin PN is gemeten / Hourly division in which PN was measured
VVN       = Minimum opgetreden zicht / Minimum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
VVNH      = Uurvak waarin VVN is gemeten / Hourly division in which VVN was measured
VVX       = Maximum opgetreden zicht / Maximum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
VVXH      = Uurvak waarin VVX is gemeten / Hourly division in which VVX was measured
NG        = Etmaalgemiddelde bewolking (bedekkingsgraad van de bovenlucht in achtsten, 9=bovenlucht onzichtbaar) / Mean daily cloud cover (in octants, 9=sky invisible)
UG        = Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
UX        = Maximale relatieve vochtigheid (in procenten) / Maximum relative atmospheric humidity (in percents)
UXH       = Uurvak waarin UX is gemeten / Hourly division in which UX was measured
UN        = Minimale relatieve vochtigheid (in procenten) / Minimum relative atmospheric humidity (in percents)
UNH       = Uurvak waarin UN is gemeten / Hourly division in which UN was measured
EV24      = Referentiegewasverdamping (Makkink) (in 0.1 mm) / Potential evapotranspiration (Makkink) (in 0.1 mm)

# STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24

  215,20140715,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  215,20140716,  317,   12,   17,   50,   14,    0,    1,   70,   13,  182,  121,    4,  246,   13,  113,    6,  134,   82, 2595,    0,    0,    0,    1,10217,10222,    6,10212,   19,    2,    2,   76,   11,    2,   84,  100,    4,   61,   11,   46
  215,20140717,    8,   17,   30,   50,   15,   10,    1,   80,   19,  211,  140,    4,  254,   11,  126,    6,  117,   72, 2558,    0,    0,    0,    1,10210,10221,   11,10196,   24,    4,    1,   81,   16,    2,   75,  100,    1,   57,    9,   47
  215,20140718,   95,   33,   36,   50,    7,   20,   20,  120,   24,  249,  182,    5,  309,   14,  170,    6,  138,   85, 2595,    0,    0,    0,    1,10158,10193,    1,10128,   20,   61,    4,   82,   16,    1,   66,   86,    3,   47,   12,   51
  215,20140719,  118,   15,   41,   70,   14,   10,   21,  140,   24,  257,  194,   24,  336,   14,  187,   24,   77,   48, 2022,    0,   -1,   -1,    1,10099,10132,    1,10085,   16,   62,   24,   82,   14,    5,   65,   87,   24,   34,   13,   40
  215,20140720,  315,   20,   25,   40,    1,   10,    5,  100,    3,  203,  173,   23,  235,   11,  165,   24,   22,   14, 1391,    6,   50,   50,    4,10100,10123,   24,10077,    2,   25,   23,   75,   15,    7,   91,   98,   21,   74,   15,   25
  215,20140721,  343,   53,   54,   70,   21,   30,    4,  120,   23,  187,  179,    4,  199,   13,  179,    6,    1,    1,  514,   25,   16,    8,   15,10151,10176,   22,10120,    2,   23,   15,   61,   10,    8,   96,   98,    3,   92,   11,    9
  215,20140722,   26,   46,   49,   70,    2,   30,    6,  110,   18,  226,  186,    1,  269,   16,  182,    6,  128,   80, 2630,    2,   10,   10,    4,10193,10210,   22,10171,    2,   57,    2,   82,   16,    3,   75,   97,    2,   56,   15,   50
  215,20140723,   59,   53,   54,   80,   14,   30,    1,  120,   13,  235,  199,   24,  282,   15,  181,   24,  137,   86, 2748,    0,    0,    0,    1,10189,10203,    1,10174,   18,   70,    1,   83,   18,    2,   66,   87,    3,   41,   14,   53
  215,20140724,   59,   52,   53,   70,   10,   30,   24,  120,   12,  221,  179,    4,  267,   14,  162,    6,  119,   75, 2505,    0,    0,    0,    1,10166,10174,    8,10156,   17,   75,    1,   83,   18,    2,   63,   79,    1,   49,   15,   47
  215,20140725,   52,   25,   29,   50,   12,   10,   21,   90,   15,  190,  161,   22,  229,   11,  143,    6,    9,    6, 1037,    0,    0,    0,    1,10157,10167,    8,10145,   20,   40,   24,   82,   11,    7,   80,   98,   22,   62,   11,   19
  215,20140726,  312,   29,   33,   50,    9,    0,    5,   80,   10,  202,  163,    1,  247,   16,  159,    6,   98,   62, 2294,    0,    0,    0,    1,10141,10153,   23,10133,   14,    1,   24,   69,   16,    5,   90,  100,   23,   72,   16,   42
  215,20140727,  311,   26,   34,   50,   16,   20,    1,   80,   16,  193,  170,   24,  235,   12,  164,   24,   74,   47, 2094,    0,    0,    0,    1,10158,10166,    9,10151,    2,    2,    1,   74,   11,    6,   90,  100,    1,   75,   12,   38
  215,20140728,   39,   41,   45,   80,   13,   20,    1,  130,   13,  196,  162,    9,  239,   17,  160,   12,   54,   34, 1325,   56,  251,   84,    8,10126,10148,    1,10110,   15,   16,   10,   75,   14,    6,   89,   98,    8,   71,   16,   24
  215,20140729,  360,   48,   49,   80,   14,   20,    2,  120,   13,  197,  152,   24,  235,   10,  126,   24,   49,   31, 1458,    0,    0,    0,    1,10126,10134,   22,10119,   15,   56,    2,   70,    9,    5,   90,   98,    1,   82,    9,   26
  215,20140730,  301,   32,   34,   60,   13,   10,   22,  100,   14,  169,  118,   24,  209,   11,   95,   24,   94,   60, 1992,    0,    0,    0,    1,10143,10161,   21,10125,    3,   23,   23,   75,    7,    3,   86,   98,   23,   70,   17,   34
  215,20140731,  230,   27,   32,   60,    9,   10,    1,  100,   10,  181,  113,    2,  243,   13,   83,    6,  119,   76, 2243,    0,    0,    0,    1,10144,10158,    1,10125,   24,    1,    1,   80,   12,    2,   80,  100,    1,   57,   11,   39
  215,20140801,  282,   12,   21,   40,   11,    0,   21,   60,   10,  184,  120,    5,  243,   11,   96,    6,  114,   73, 2204,    0,    0,    0,    1,10102,10123,    1,10081,   24,    1,    4,   76,    9,    2,   84,  100,    1,   62,   10,   39
  215,20140802,  173,   13,   30,   60,   14,   10,    1,  100,   14,  205,  141,    1,  267,   12,  119,    6,   38,   25, 1530,    0,    0,    0,    1,10055,10075,    1,10043,   13,    7,   24,   81,   14,    4,   82,  100,   24,   60,   14,   28
  215,20140803,  267,   26,   31,   60,   15,   10,    1,   90,   15,  188,  141,   24,  232,   12,  136,    6,   99,   64, 2250,    7,  133,  133,   24,10109,10137,   23,10068,    1,   12,   24,   81,   12,    3,   80,   98,    1,   64,   12,   40
  215,20140804,  272,   18,   27,   60,   12,    0,    4,   90,   12,  169,  110,   24,  213,   11,   92,   24,  135,   88, 2503,   15,   17,   14,    1,10162,10188,   23,10135,    3,    1,    3,   80,   15,    2,   84,  100,    5,   65,   15,   43
  215,20140805,  248,   15,   23,   50,   14,    0,    1,  110,   12,  174,  102,    4,  226,   12,   74,    6,  127,   83, 2306,    0,    0,    0,    1,10191,10199,   10,10173,   24,    1,    1,   82,   16,    1,   80,  100,    3,   54,   10,   40
  215,20140806,  165,   35,   36,   50,   14,   20,    1,  120,   16,  179,  154,    1,  203,   13,  124,    6,   14,    9,  607,   37,   44,   25,   16,10140,10171,    1,10124,   24,   32,   17,   80,    8,    7,   85,   98,   17,   65,    8,   11
  215,20140807,  331,    7,   26,   40,   12,   10,   10,   70,   12,  191,  155,   23,  232,   14,  134,   24,   96,   63, 2187,    0,    0,    0,    1,10144,10162,   22,10120,    3,   24,    5,   80,   13,    4,   85,   98,    2,   66,   14,   39
  215,20140808,  118,   36,   40,   60,   11,   20,    1,  100,   16,  189,  160,    1,  220,   12,  148,    6,    8,    5, 1042,    6,    7,    4,   17,10098,10159,    1,10018,   24,   50,   24,   69,   15,    7,   90,   98,   24,   78,   10,   19
  215,20140809,  240,   49,   58,   90,    6,   10,   20,  150,    7,  184,  141,   24,  217,   14,  111,   24,  111,   74, 2252,   15,   28,   25,    4,10076,10115,   20, 9990,    4,   56,    1,   80,   12,    5,   78,   98,    1,   57,   14,   40
  215,20140810,  194,   41,   57,  100,   18,   30,    1,  180,   18,  185,  142,    1,  210,   11,  122,    6,   21,   14,  769,   31,   63,   36,   15,10031,10097,    1, 9977,   16,   58,   15,   80,   21,    7,   82,   96,   15,   62,   23,   14
  215,20140811,  231,   79,   81,  100,   12,   60,   22,  180,   15,  174,  146,   22,  203,   13,  139,   24,  111,   74, 2083,    9,   22,    9,   23,10080,10095,   10,10042,    1,   64,    1,   80,    9,    5,   71,   91,   23,   59,   10,   36
  215,20140812,  224,   65,   67,   90,   11,   50,    2,  160,    9,  164,  131,    4,  197,   13,  123,    6,   89,   60, 1802,   17,   69,   25,    1,10075,10088,   11,10056,   24,   62,    3,   81,   19,    5,   74,   93,    1,   60,   11,   31
  215,20140813,  234,   49,   52,   70,   15,   40,    3,  140,   21,  167,  126,    3,  202,   12,  117,    6,  116,   78, 2249,   23,   42,   16,   21,10048,10064,   23,10034,    6,   59,    4,   81,   11,    4,   80,   95,    3,   64,   11,   38
  215,20140814,  258,   35,   39,   60,    9,   20,    4,  120,    1,  162,  121,    5,  195,   15,  106,    6,   79,   53, 1886,   23,   73,   26,   20,10089,10106,   20,10063,    1,   57,   20,   81,   14,    6,   82,   96,    5,   64,   14,   32
  215,20140815,  319,   35,   42,   70,   15,   10,    6,  110,   14,  159,  125,    2,  191,   13,  117,    6,   78,   53, 1824,   24,   44,   22,    5,10131,10170,   23,10095,    1,   38,    4,   80,   10,    6,   83,   98,    1,   69,   10,   31
  215,20140816,  269,   51,   56,   90,   11,   30,    7,  140,   13,  166,  144,    5,  180,   16,  131,    6,   51,   35, 1473,    5,    2,    1,    2,10174,10190,   10,10135,   24,   64,    2,   83,   23,    7,   74,   88,    9,   62,   23,   25
  215,20140817,  247,   66,   68,   90,   10,   40,   21,  170,   20,  161,  123,   20,  183,   15,  122,   24,   16,   11,  580,   19,  111,   43,   20,10072,10128,    1,10037,   24,   65,   11,   80,    1,    6,   74,   86,   12,   65,    1,   10
  215,20140818,  277,   64,   69,  100,   11,   20,   22,  170,   12,  143,   99,   23,  172,   11,   90,   24,   46,   32, 1304,   20,   42,   24,   12,10063,10099,   21,10029,    6,   44,   12,   80,    2,    7,   80,   95,   23,   67,    1,   21
  215,20140819,  278,   42,   52,   80,   12,   20,    1,  150,   11,  130,  107,    4,  157,   12,  103,    6,   57,   39, 1307,   32,   65,   29,    1,10105,10142,   24,10076,    6,   60,    1,   80,   17,    7,   81,   97,    1,   65,   18,   21
  215,20140820,  275,   21,   31,   50,    8,   10,    9,  100,   13,  129,   81,   22,  174,   15,   71,   24,   56,   39, 1342,   26,   31,   13,    8,10157,10166,   20,10142,    1,   36,   21,   81,   16,    6,   80,   98,   22,   64,   16,   21
  215,20140821,  226,   37,   41,   70,   14,   20,    3,  110,   14,  132,   70,    4,  177,   14,   41,    6,   62,   43, 1323,   18,   64,   42,   23,10146,10163,    1,10117,   24,    5,    3,   83,   16,    5,   80,   99,    3,   57,   15,   21
  215,20140822,  223,   39,   47,   90,   12,   10,   19,  130,   12,  134,   94,   24,  171,   11,   82,   24,   29,   20,  984,   39,   42,   12,   14,10104,10121,   23,10093,   11,   58,   24,   75,   11,    7,   88,   98,   24,   72,   16,   16
  215,20140823,  257,   28,   39,   80,   11,   10,    2,  120,   11,  125,   82,    5,  167,   13,   52,    6,  100,   70, 2019,   14,   47,   36,    7,10135,10160,   24,10115,    4,   56,    4,   83,   14,    5,   82,   98,    4,   59,   16,   31
  215,20140824,  259,   24,   34,   70,   11,   10,    2,  120,   11,  131,   75,    3,  170,   12,   66,    6,  105,   74, 1974,    9,   48,   35,    3,10177,10187,   15,10163,    1,    3,    2,   83,   13,    4,   80,   99,    2,   61,   14,   31
  215,20140825,  112,   27,   31,   50,   20,   10,    3,   80,   21,  133,   92,    5,  164,   10,   80,    6,    1,    1,  612,   94,  112,   21,   24,10117,10166,    1,10043,   24,   45,   24,   80,   10,    8,   88,   98,   19,   64,   10,   10
  215,20140826,   65,   42,   45,   60,   11,   30,   18,  100,   12,  142,  115,   21,  165,   17,  103,   24,    7,    5,  790,   78,  136,   40,    2,10074,10131,   24,10034,    3,   39,    2,   75,   17,    6,   89,   98,    1,   76,   17,   13
  215,20140827,   95,   20,   24,   40,   16,   10,    3,   70,   13,  146,   56,    5,  208,   15,   36,    6,  122,   87, 2102,    0,    0,    0,    1,10158,10172,   10,10134,    1,    1,    5,   81,   14,    1,   78,  100,    4,   54,   13,   34
  215,20140828,  185,   27,   32,   50,   10,   10,    1,  120,   17,  160,  107,    5,  208,   14,   75,    6,   27,   19,  802,    8,   15,   14,   17,10133,10147,    1,10123,   16,   26,    5,   75,   10,    4,   92,   98,    4,   79,   10,   14
  215,20140829,  228,   51,   53,   80,   15,   20,    1,  150,   17,  169,  130,    6,  205,   12,  113,    6,   75,   54, 1463,    3,   12,   12,   24,10141,10148,   13,10131,    1,   59,    1,   73,   18,    6,   82,   98,    1,   68,   12,   25
  215,20140830,  236,   43,   48,   80,   13,   20,   20,  130,   13,  164,  129,   23,  195,   12,  123,   24,   35,   25, 1123,   22,   33,   14,    7,10141,10150,   19,10132,    4,   49,    3,   75,   12,    7,   89,   97,    3,   72,   14,   19
  215,20140831,  307,   38,   41,   70,   10,   10,   24,  120,   12,  151,  106,   24,  187,   11,   81,   24,   48,   35, 1280,   11,   20,    9,   16,10158,10192,   24,10135,    4,    6,   24,   75,    9,    6,   87,   99,   24,   72,   12,   21
  215,20140901,  281,   11,   17,   30,    9,    0,    7,   60,   15,  154,   96,    1,  208,   12,   74,    6,   86,   63, 1741,    4,    4,    4,   18,10206,10212,    9,10193,    1,    4,    4,   80,   11,    5,   85,  100,    1,   64,   15,   29
  215,20140902,   44,   16,   23,   50,   15,   10,    1,   70,   13,  172,  129,    2,  215,   12,  123,    6,   45,   33, 1261,    0,    0,    0,    1,10230,10245,   21,10210,    1,   40,   24,   77,   11,    6,   84,   98,    1,   67,   10,   22
  215,20140903,   78,   38,   39,   60,   12,   20,    1,  100,   14,  174,  129,    6,  215,   14,  105,    6,  112,   83, 1929,    0,    0,    0,    1,10233,10248,    9,10217,   24,   22,    5,   81,   15,    1,   79,   98,    1,   57,   15,   33
  215,20140904,   77,   23,   27,   40,   12,    0,   20,   70,   12,  179,  138,    5,  228,   14,  126,    6,  101,   75, 1780,    0,    0,    0,    1,10186,10213,    1,10159,   24,   24,   24,   70,    1,    3,   83,   98,   20,   65,   14,   31
  215,20140905,   30,    3,   15,   30,   16,   10,    1,   40,    9,  184,  144,    1,  234,   14,  124,    6,    4,    3,  764,    0,    0,    0,    1,10144,10157,    1,10136,   17,    1,    1,   61,   14,    8,   89,  100,    1,   64,   14,   14
  215,20140906,  303,   23,   24,   40,    9,   10,    1,   60,   13,  173,  147,   22,  191,   13,  142,   24,    2,    2,  687,    0,    0,    0,    1,10136,10144,   24,10128,    5,    1,    1,   66,   14,    7,   91,  100,    3,   78,   12,   12
  215,20140907,  302,   22,   25,   50,   14,   10,    5,   70,   13,  166,  116,   24,  207,   13,   93,   24,   76,   57, 1558,    4,    3,    3,    1,10156,10173,   24,10143,    1,    4,    6,   70,    2,    5,   87,  100,    6,   65,   12,   27
  215,20140908,  322,   20,   21,   40,   12,    0,    2,   70,   12,  136,   70,    5,  193,   13,   49,    6,  117,   89, 1864,    0,    0,    0,    1,10192,10206,   22,10171,    2,    0,    3,   82,   12,    3,   82,  100,    1,   62,   15,   30
  215,20140909,  350,   22,   26,   50,   11,   10,    1,   80,   13,  150,  107,    1,  180,   15,   99,    6,    7,    5,  797,    0,   -1,   -1,    1,10212,10218,   10,10202,    2,   60,    1,   80,   12,    8,   82,   97,    1,   66,   12,   13
  215,20140910,   18,   29,   30,   60,   16,   10,   22,   90,   16,  146,   83,   24,  189,   13,   60,   24,   36,   28, 1117,    0,    0,    0,    1,10212,10218,   11,10206,   18,    1,   24,   83,   13,    6,   76,   99,   23,   56,   12,   18
  215,20140911,   15,   33,   35,   60,   13,   10,    1,  100,   13,  153,   76,    2,  206,   12,   54,    6,   79,   61, 1221,    0,    0,    0,    1,10208,10230,   24,10196,    5,    1,    1,   80,   15,    4,   84,   99,    1,   66,   16,   20
  215,20140912,   37,   34,   35,   50,   10,   10,    3,  100,   14,  162,   92,    5,  214,   14,   63,    6,  102,   79, 1625,    0,    0,    0,    1,10238,10251,   24,10228,    4,    1,    4,   80,   12,    1,   84,  100,    5,   63,   14,   28
  215,20140913,   21,   39,   40,   60,   13,   20,   23,   90,   12,  169,  136,    1,  207,   12,  127,    6,   61,   47, 1143,    0,    0,    0,    1,10256,10263,    9,10249,    3,   42,    1,   67,   11,    4,   87,   98,    1,   71,   15,   20
  215,20140914,   35,   27,   28,   50,   11,   10,   21,   80,   10,  158,  101,   24,  207,   14,   78,   24,   38,   30, 1022,    0,    0,    0,    1,10217,10245,    1,10188,   24,    1,    5,   80,   13,    5,   87,  100,    5,   62,   15,   17
  215,20140915,   65,   21,   23,   40,   11,    0,    5,   70,   15,  160,   81,    5,  228,   14,   67,    6,   94,   74, 1550,    0,    0,    0,    1,10171,10185,    1,10160,   17,    1,    1,   76,   14,    4,   86,  100,    2,   61,   15,   26
  215,20140916,   49,    9,   15,   40,   16,    0,   22,   60,   10,  169,  114,    6,  240,   13,   96,    6,   65,   51, 1265,    0,    0,    0,    1,10151,10163,    9,10136,   24,    0,    5,   67,   14,    3,   89,  100,    2,   60,   14,   22
  215,20140917,   92,   20,   22,   40,   10,    0,    1,   70,   11,  178,  111,    3,  246,   14,   92,    6,  113,   90, 1617,    0,    0,    0,    1,10123,10135,    1,10111,   24,    0,    1,   76,   14,    2,   85,  100,    1,   57,   13,   28
  215,20140918,  108,   21,   24,   40,   12,   10,    2,   70,   12,  190,  142,   24,  255,   14,  107,    6,  115,   92, 1529,    0,    0,    0,    1,10102,10109,    1,10094,   15,   32,   24,   75,   18,    0,   85,   98,   22,   65,   13,   27
  215,20140919,   83,    3,   14,   30,    9,    0,   20,   40,    9,  171,  124,    5,  228,   15,  111,    6,   47,   38,  956,    0,    0,    0,    1,10117,10131,   20,10101,    2,    0,    5,   59,   14,    5,   95,  100,    6,   78,   14,   16
  215,20140920,  335,   20,   21,   50,   13,    0,    1,   80,   13,  169,  125,    2,  218,   11,  111,    6,   28,   23,  993,    0,    0,    0,    1,10146,10164,   24,10129,    2,    0,    1,   60,   21,    7,   94,  100,    1,   83,   11,   17
  215,20140921,  350,   61,   63,   80,   10,   20,    1,  130,   13,  161,  143,   24,  182,   12,  133,   24,   61,   49, 1103,   10,    9,    7,    3,10195,10222,   24,10162,    3,   59,    2,   80,   10,    6,   76,   97,    2,   62,   24,   19
  215,20140922,  330,   55,   58,   90,    8,   10,   22,  140,    6,  133,   65,   24,  164,   11,   45,   24,   35,   29,  816,    2,    2,    2,   12,10220,10230,   21,10212,    4,   57,   24,   72,   16,    6,   72,   98,   24,   59,    1,   13
  215,20140923,  214,   19,   20,   40,   15,   10,    1,   70,   15,  128,   59,    6,  178,   15,   37,    6,   28,   23,  755,    0,    0,    0,    1,10195,10223,    1,10153,   24,    3,    3,   69,   13,    6,   84,   99,    3,   65,   16,   12
  215,20140924,  272,   30,   46,   60,   11,   30,    1,  150,   14,  142,  126,    1,  170,   13,  117,    6,   12,   10,  484,   29,  137,   67,   15,10114,10147,    1,10093,   14,   22,   14,   75,   24,    7,   85,   95,   14,   78,   10,    8
  215,20140925,  262,   49,   55,   80,   12,   30,    5,  130,   13,  155,  123,    7,  174,   23,  110,   12,   59,   49, 1164,    0,    0,    0,    1,10186,10202,   12,10148,    1,   67,   22,   80,   12,    6,   76,   87,   23,   64,   14,   19
  215,20140926,  257,   37,   42,   70,   13,   10,   19,  110,   13,  161,   97,   24,  197,   13,   75,   24,   19,   16,  684,    4,    3,    2,   11,10228,10264,   24,10196,    4,    1,   24,   75,   17,    7,   90,  100,   23,   80,   17,   12
  215,20140927,  181,    4,   14,   30,    9,    0,    4,   50,    9,  152,   87,    5,  209,   12,   63,    6,   33,   28,  899,    0,    0,    0,    1,10270,10284,   11,10257,   24,    1,    4,   80,   10,    7,   88,  100,    5,   57,   12,   15
  215,20140928,  112,   19,   19,   40,   14,    0,    2,   60,   14,  155,   99,    3,  215,   14,   74,    6,   67,   56, 1126,    0,    0,    0,    1,10224,10254,    1,10202,   24,    2,    1,   75,   14,    4,   88,  100,    2,   63,   14,   19
  215,20140929,  186,   20,   21,   40,   13,   10,    1,   70,   13,  159,  106,    6,  200,   12,   91,    6,   12,   10,  585,   21,    8,    6,   16,10210,10218,   21,10198,    4,    1,    1,   63,   12,    7,   95,  100,    2,   79,   12,   10
  215,20140930,  233,   25,   28,   60,   10,   10,   18,  100,   11,  150,   96,   24,  194,   15,   75,   24,   51,   43,  836,    0,    0,    0,    1,10238,10250,   21,10214,    1,    1,   19,   65,   14,    5,   92,  100,   20,   77,   14,   14
  215,20141001,  228,   24,   27,   50,   13,   10,    1,   80,   13,  160,   95,    1,  209,   13,   73,    6,   43,   37,  841,    0,   -1,   -1,   24,10258,10274,   24,10246,    4,    1,    1,   75,   13,    7,   90,  100,    2,   70,   15,   14
  215,20141002,    1,   13,   14,   30,   14,    0,   20,   40,    1,  150,   90,   24,  190,   12,   70,   24,    5,    4,  491,    0,   -1,   -1,    7,10283,10294,    8,10270,   24,    0,   22,   75,   10,    8,   90,  100,   21,   72,   12,    8
  215,20141003,  148,   14,   15,   30,   10,    0,    1,   60,   11,  144,   81,    3,  218,   14,   66,    6,   84,   73, 1250,    0,    0,    0,    1,10234,10265,    1,10187,   24,    0,    2,   76,   14,    4,   89,  100,    1,   58,   14,   20
  215,20141004,  137,    6,   39,   90,   19,   10,    1,  170,   18,  152,  101,    1,  210,   13,   75,    6,   67,   58, 1017,   24,   87,   56,   20,10150,10182,    1,10122,   16,    1,    1,   75,   22,    4,   85,  100,    1,   66,   13,   17
  215,20141005,   22,   25,   30,   50,    1,   10,    6,   80,    1,  133,   81,    7,  162,   14,   68,   12,   62,   54, 1000,    0,    0,    0,    1,10179,10199,    9,10144,   24,   65,    6,   83,   14,    5,   74,   96,    7,   55,   14,   16
  215,20141006,  152,   39,   42,   60,   13,   20,    1,  100,   13,  135,  122,   24,  150,   12,  120,   24,    1,    1,  307,   17,   13,    7,   24,10078,10139,    1,10009,   24,   36,    7,   75,   12,    8,   86,   97,   24,   74,   15,    5
  215,20141007,  202,   64,   68,  110,   13,   40,    2,  180,   10,  122,  103,   23,  147,   10,   96,   24,   34,   30,  718,   23,   78,   69,   10, 9995,10055,   24, 9955,    9,   57,   10,   80,   14,    6,   85,   98,    3,   69,   14,   11
  215,20141008,  180,   51,   53,   70,   14,   30,   22,  120,   17,  132,   93,    3,  163,   19,   84,    6,    6,    5,  318,   40,   61,   17,   11,10012,10060,    1, 9974,   22,   57,   20,   70,    1,    7,   91,   96,   11,   86,    8,    5
